cell_name,crate_label,specific_energy_wh_kg,specific_power_w_kg,technology
BCAP3000,gcpl_maxwell3000F_1_5A,1.2965822425498654,7.0838236808776855,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.317732889268552,7.069025993347168,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.3391140643995816,7.054319858551025,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.3608812187957238,7.03952169418335,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.3820557228248431,7.02472448348999,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.4031468214504792,7.010018348693848,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.424465345340863,6.994852542877197,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.4460099944135367,6.980055809020996,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.4673537884028294,6.965073585510254,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.4888836415694302,6.950092315673828,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.5099818541300285,6.9353861808776855,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.5311507033536484,6.920588493347168,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.5520052142809546,6.905607223510742,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.5726616523034185,6.8909010887146,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.5938475413388662,6.876103401184082,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.614606291225259,6.861305236816406,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.635396612213504,6.846599102020264,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.6557242356521191,6.831801891326904,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.6766904576099584,6.817095756530762,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.6972704578507338,6.802022457122803,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.717994198184939,6.78731632232666,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.7388609938370312,6.772335052490234,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.7592686884577078,6.757628917694092,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.7793693721847657,6.742830753326416,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.799650507014192,6.728033542633057,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.819999233171653,6.713327407836914,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.8406009110187087,6.698253631591797,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.860970845838049,6.6834564208984375,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.8809991546514788,6.668750286102295,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.900983207367768,6.653952121734619,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.9210333660202248,6.638971328735352,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.941444011829121,6.624264717102051,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.961404890143168,6.609467029571533,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,1.981394067040786,6.594393253326416,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.0014843994410856,6.579595565795898,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.0211276903227,6.564614295959473,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.040872332067382,6.54990816116333,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.060536207935935,6.535110950469971,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.0798288148744777,6.5200371742248535,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.100379516828057,6.5050554275512695,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.120053115356703,6.490349292755127,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.1396100152291537,6.475551605224609,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.158906806530537,6.460845470428467,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.178338851403232,6.446048259735107,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.197297231336852,6.431342124938965,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.216925806193004,6.416452884674072,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.2356902249318864,6.40174674987793,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.255015502040352,6.387040138244629,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.273232923042253,6.3722429275512695,Li-ion
BCAP3000,gcpl_maxwell3000F_1_5A,2.2930346591528994,6.357444763183594,Li-ion
